imgPath,caption,chartType,xAxis,yAxis
statista_dataset/dataset_copy/imgs/12551.png," This statistic represents the operating costs of the public bus service in Great Britain, excluding London, between the financial years of 2004/05 and 2018/19. In the period of consideration, buses operating costs presented a trend of growth, achieving its peak in 2014/15, with operating costs amounting to over 3.84 billion British pounds. In the financial year of 2018/19, the operating cost on local bus services was 3.77 billion British pounds, a decline of roughly two percent in comparison with the peak year. ",column,Unnamed: 0,Costs in million British pounds***
statista_dataset/dataset_copy/imgs/19457.png," This statistic depicts the number of active physicians in Rhode Island as of March 2020, ordered by specialty area. At that time, there were 135 anesthesiologists active in Rhode Island. In total, there were 2,661 registered physicians in Rhode Island. ",table,Specialty area,Number of physicians
statista_dataset/dataset_copy/imgs/9736.png," This statistic shows the population distribution of Saskatchewan, Canada, in 2016, by urban/rural type. In 2016, 17.7 percent of Saskatchewan's population lived in small population centers. ",column,Unnamed: 0,Share of total population
statista_dataset/dataset_copy/imgs/2919.png," This statistic shows the unemployment rate in Ireland from 1999 to 2020. In 2020, the unemployment rate in Ireland was at approximately 5.16 percent. ",line,Unnamed: 0,Unemployment rate
statista_dataset/dataset_copy/imgs/21746.png," In the fiscal year 2019, the Deendayal port in India had the highest share of total cargo handled at about 16.5 percent. Almost 70 percent of the country's trading value was handled through maritime transport. The port sector of the South Asian country handled over a billion metric tons of cargo in 2019. ",pie,Unnamed: 0,Share of total cargo handled
statista_dataset/dataset_copy/imgs/18289.png," This statistic illustrates the share of the same day-delivery market in the United States in 2018, broken down by service type. In that year, the priority service accounted for 30 percent of the U.S. same day-delivery market. Regular transportation accounts for the largest share of the parcel market in the U.S. ",pie,Unnamed: 0,Market share
statista_dataset/dataset_copy/imgs/2588.png," During the third quarter of 2020, daily deal and local offer platform Groupon generated global revenues of 304.02 million U.S. dollars. A considerable amount of Groupon's revenue is generated through its mobile platform, where the number of mobile Groupon app downloads worldwide reached 200 million downloads in June 2019. ",line,Unnamed: 0,Revenue in million U.S. dollars
statista_dataset/dataset_copy/imgs/13289.png," This statistic shows the distribution of the mine production of nickel worldwide in 2018, by country. In that year, the Indonesia produced the world's largest share of nickel from mines, at 26 percent. Philippines had the second largest production volume at 14.8 percent of world mine production. ",pie,Unnamed: 0,Share of production
statista_dataset/dataset_copy/imgs/1307.png," In 2019, almost 32 percent of The Coca-Cola Companyâ€™s revenue was specifically generated in North America. The American multinational corporation owns various brands, such as Sprite, Minute Maid, and Aquarius. Coca-Cola worldwide In 2019, Coca-Cola generated net operating revenues of over 37 billion U.S. dollars. While the companyâ€™s global net operating earnings spiked between 2010 and 2011, numbers have been decreasing steadily since 2012. Between 2012 and 2018, the net operating revenue decreased by roughly a third. Biggest brands worldwide With a brand value of almost 70 billion U.S. dollars, Coca-Cola was by far the most valuable soft drink in the world in 2019, beating out competitors, such as Red Bull and Pepsi. Globally, Coca-Cola was the fifth most valuable brand, after brands such as Google and Amazon. Apple stood in first place with a value of over 230 billion U.S. dollars. ",pie,Unnamed: 0,Revenue distribution share
statista_dataset/dataset_copy/imgs/3321.png," The statistic shows the average operating truck speed on selected U.S. metropolitan area interstates in 2015. In that year, trucks had an average operating speed of just over 59 miles per hour in Miami, Florida. ",table,Selcted areas,Average speed in miles per hour
statista_dataset/dataset_copy/imgs/7276.png," In 2019, close to half of all online ad revenue in the United States was generated through search advertising. About a third of the revenue came from online banners that year. Digital advertising in the United StatesIn 2019, online advertising in the United States generated a total revenue of about 124 billion U.S. dollars. U.S. internet ad revenue has been increasing steadily since 2009 and has grown by about 15 percent compared to 2018. Alongside revenue, the countryâ€™s digital ad expenditures have also been increasing each year steadily, reaching nearly 130 billion U.S. dollars in 2019. This amount is estimated to surpass 200 billion U.S. dollars by 2023. Distribution of digital ad budgets According to U.S. agencies and marketers, roughly 29 percent of their digital advertising budget went to mobile video advertising in 2018. Another 31 percent of those budgets went to desktop video, indicating the importance of the medium on both platforms. The budget share devoted to mobile video format was expected to further grow by about two percent in 2019. ",bar,Unnamed: 0,Share of revenue
statista_dataset/dataset_copy/imgs/10077.png," This statistic depicts the number of active physicians in Arizona as of March 2020, ordered by their specialty area. During this time, there were 1,036 anesthesiologists active in Arizona. There were 9,446 active physicians in the state. ",table,Specialty area,Number of physicians
statista_dataset/dataset_copy/imgs/15303.png," This chart shows the share of people in the United Kingdom that own vinyl records as of 2018. Whilst almost half of the people interviewed indeed owned at least some vinyl records, the share of those who owned none at all was still significant at 37 percent. Of the 1,014 people who responded to the survey, 4 percent said they didn't even know what a vinyl record was. ",pie,Unnamed: 0,Share of respondents
statista_dataset/dataset_copy/imgs/21484.png," This statistic shows the biggest benefits to working remotely in 2020. According to the survey, the main benefit to remote work is ability to have a flexible schedule with 32 percent of respondents naming it as the biggest benefit to working remotely. ",pie,Unnamed: 0,Share of respondents
statista_dataset/dataset_copy/imgs/10380.png," As of October 2020, there have been a total of 180 school shootings in California since 1970, the most out of any state. Texas had the second highest number of school shootings since 1970, with 149 shootings. ",bar,Unnamed: 0,Number of school shootings
statista_dataset/dataset_copy/imgs/15113.png," This statistic shows the share of the population that avoided crowds due to coronavirus (COVID-19) in Spain as of March 2020, by age. During that month, 56 percent of respondents aged between 14 and 24 years claimed to have taken this preventive measure. ",column,Unnamed: 0,Share of respondents
statista_dataset/dataset_copy/imgs/7319.png," In 2016, the Faroe Islandâ€™sâ€¯national football team,â€¯controlled by theâ€¯Football Association of the Faroe Islands, reached its highestâ€¯positionâ€¯in the FIFA World Ranking.â€¯The team took part in the qualifying for the UEFAâ€¯European Championship 2016.â€¯Out of the ten qualifying matches, the Faroe Islandâ€™s national football team won both matches against Greece. FIFAâ€¯World Ranking The FIFA Worldâ€¯ranking isâ€¯made by theâ€¯International Federationâ€¯of Association Footballâ€?FIFA). Itâ€¯is based on match results, according to which the most successful team is ranked highest.â€¯Since August 2018,â€¯a new calculation modelâ€¯modified from the Elo rating systemâ€¯is in use.â€¯The football teams get points forâ€¯single games, and the number of points is determined by the relative strength ofâ€¯both opponents. To get the final ranking position, these points must be added/subtracted. In April 2020, the position of the Faroe Islandâ€™s national football team in the world ranking was 110. At that time, the team had already participated in two qualifiers for the upcoming UEFA European Championship in 2020 and lost both. By contrast, the three leading national teams were Belgium on the first position, followed by France and Brazil. ",table,Unnamed: 0,FIFA World Ranking* position
statista_dataset/dataset_copy/imgs/18916.png," This statistics illustrates the number of 2/3 wheelers sold in Pakistan from July 2008 to June 2019. During the time period of July 2018 to June 2019, about 1.8 two and three wheelers were sold in Pakistan. ",line,Unnamed: 0,Number of cars
statista_dataset/dataset_copy/imgs/11393.png," This statistic shows the number of deaths in Yukon, Canada from 2001 to 2020. Between July 1, 2019 and June 30, 2020, a total of 250 people died in Yukon. ",column,Unnamed: 0,Number of deaths
statista_dataset/dataset_copy/imgs/21159.png," As of March 2020, 49 percent of Americans believed that face masks were very or somewhat effective for preventing the spread of the coronavirus. However, almost 42 percent of Americans believed that face masks were not very effective or not at all effective. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page. ",pie,Unnamed: 0,Share of respondents
statista_dataset/dataset_copy/imgs/16812.png," In 1925 in Algeria, the average woman had 7 children during the course of her lifetime. The fertility rate of a country is the average number of children that women from that country will have throughout their reproductive years. Algeria's fertility rate increased steadily from 1925, until it reached 7.7 children in the 1960s, with the exception of a slight, but noticeable drop in the interval between 1950 and 1955, which was due to the civil uprisings that eventually led to the Algerian War of Independence. From 1970 onwards, the fertility rate dropped dramatically, reaching 2.38 children per woman in 2005. Surprisingly, after 2005 the amount started to increase again. This increase led to an average of 3 children per Algerian woman in 2020, and it coincides with economic difficulties resulting from declining oil prices. ",line,Unnamed: 0,Fertility rate
statista_dataset/dataset_copy/imgs/1495.png," This statistic shows the income distribution of Canadians for 2018, distinguished by level of income. In 2018, about 270,970 Canadians had an income of 250,000 Canadian dollars or more. ",column,Income in Canadian dollars,Number of people
statista_dataset/dataset_copy/imgs/21199.png," This chart shows some of the media consumption habits of the Millennials generation in the United States in 2012. According to a recent study, Millennials are 40 percent less likely than other U.S. adults to read a newspaper (print or e-edition). ",table,Unnamed: 0,Unnamed: 1
statista_dataset/dataset_copy/imgs/17697.png," This graph shows the poverty rate in South Dakota from 2000 to 2019. In 2019, 11.9 percent of South Dakota's population lived below the poverty line. ",line,Unnamed: 0,Percentage of population
statista_dataset/dataset_copy/imgs/392.png," The statistic shows the total U.S. energy-related carbon dioxide emissions between 1975 and 2019. In 2019, around 5.13 billion metric tons of CO2 emissions were produced from energy consumption in the United States. In 2018, around 36.6 billion metric tons of carbon dioxide was emitted globally. U.S. carbon dioxide emissions from energy consumption The year 1997 marked the birth of the Kyoto Protocol. That year, global energy-related CO2 emissions stood at around 24.4 billion metric tons. Despite numerous assurances by policymakers to undertake efforts to reduce pollution, this figure increased to more than 36 billion metric tons of carbon dioxide in 2017. North America and the Asia Pacific regions are presently the biggest producers of carbon dioxide emissions as a result of a growing thirst for energy derived from fossil fuels such as oil, natural gas and coal. China is currently the most polluting country in the world , with a 27.5 percent share of global CO2 emissions in 2018. A comparative analysis between CO2 levels in 1993 and those in 2003 shows that emission levels in China have more than tripled in a span of ten years. According to a recent forecast, energy-related global CO2 emissions from the consumption of coal, natural gas and liquid fuels are set to rise to unprecedented levels through 2040, while U.S. CO2 emissions produced by the use of natural gas are set to grow from 1.68 billion metric tons of CO2 equivalent in 2019 to 1.97 billion metric tons in 2050. In 2014, in Lima, Peru, negotiations were held regarding a post-Kyoto legal framework forcing major polluters, including China, India, and the United States, to pay for CO2 emissions. Although most countries refused to ratify this latter treaty, there has been a worldwide commitment towards so called â€œgreen energy.â€?Global renewable energy consumption soared from 44.4 million metric tons of oil equivalent in 1998 to 561 million metric tons of oil equivalent in 2018. International investments in renewable energy sources increased six-fold, as the world has invested more than 288 billion U.S. dollars in alternative energy sources and technologies as of 2018. ",line,Unnamed: 0,Emissions in million metric tons of carbon dioxide
statista_dataset/dataset_copy/imgs/8834.png," This statistic depicts the number of active physicians in Michigan as of March 2020, ordered by specialty area. At that time, there were 1,627 anesthesiologists active in Michigan. There were over 20,900 active physicians in the state. ",table,Specialty area,Number of physicians
statista_dataset/dataset_copy/imgs/25888.png," The statistic above presents estimation data on the annual expenses of U.S. record production and distribution companies from 2007 to 2018. In 2018, integrated record production and distribution companies spent an estimated total of 7.48 billion U.S. dollars. ",column,Unnamed: 0,Expenses in billion U.S. dollars
statista_dataset/dataset_copy/imgs/21672.png," This statistic shows the share of French people missing going to music festivals since the beginning of lockdown on March 17, 2020. 14 percent of respondents claimed to miss tremendously going to music festival, while 17 percent of them don't miss it at all. ",pie,Unnamed: 0,Share of respondents
statista_dataset/dataset_copy/imgs/9747.png," This statistic represents the amount of marijuana confiscated by the United States Border Patrol in the fiscal year of 2019. In the fiscal year of 2019, a total 59,480 pounds of marijuana were confiscated in Tucson, Arizona. ",table,Unnamed: 0,Marijuana seized in pounds
statista_dataset/dataset_copy/imgs/27612.png," In fiscal year 2017, the revenue generated by the Indian central government from duty on tires and tubes was around 21 billion Indian rupees. That year, about 87 percent of the tax revenue was generated from high speed diesel and motor spirit by the central government. Road tax across the country continued to stay above the goods and services tax. ",column,Unnamed: 0,Tax revenue in billion Indian rupees
statista_dataset/dataset_copy/imgs/14602.png," The statistic shows the market share of data and internet operators in Nepal in 2017. The service operator NDCL accounted for 53.73 percent of the data and internet provider market in Nepal, followed by the service operator NCell with 42.38 percent. ",pie,Unnamed: 0,Market share
statista_dataset/dataset_copy/imgs/27005.png," This statistic shows a ranking of key electricals and electronics retailers in Germany, by their revenue in 2013. Of the retailers listed by the source, online retailer Amazon.de had the highest revenue at 7.9 billion euros. This was followed by Media Markt and Saturn, with revenues of 6.5 billion euros. ",bar,Unnamed: 0,Revenue in billion euros
statista_dataset/dataset_copy/imgs/10956.png," This statistic shows the number of Ralph Lauren's Club Monaco stores as of 2020, by region. As of 2020, Polo Ralph Lauren operated 70 Club Monaco stores throughout North America. ",column,Unnamed: 0,Number of stores
statista_dataset/dataset_copy/imgs/16622.png," This statistic displays the aggregate number of people employed in the European insurance markets from 2004 to 2018. Over time, the number of employees decreased. In 2018, just under 927,000 people were working in insurance companies across Europe. This is the lowest number of employees in the European insurance market during this period. ",column,Unnamed: 0,Number of employees
statista_dataset/dataset_copy/imgs/1990.png," In 2020, Argentina had one of the lowest Big Mac prices in Latin America. As of January, it was estimated that a Big Mac burger in the country cost an average of 2.85 U.S. dollars, up from two dollars a year earlier. The Big Mac Index in Argentina The Big Mac Index is an indicator that measures an economy's purchasing power. As it is mainly a standardized product, elaborated similarly across many markets, the evolution of its cost can provide insights into variations of real consumption prices in a given country. For instance, the price for a Big Mac in Argentina decreased by almost half from 2018 to 2019. This reflects Argentina's peso devaluation in comparison to the U.S. dollar and other foreign currencies in that period, caused by high inflation rates in the country, among other macroeconomic reasons. McDonald's in Latin America Arcos Dorados Holdings Inc. is McDonald's franchisee in Latin America. The company's name was inspired by McDonald's famous logo, as 'Arcos Dorados' means 'Golden Arches' in Spanish. It manages the brand's operations in Mexico, Central America, the Caribbean and South America. Arcos Doradosâ€?revenue averages three billion U.S. dollars per year, making it McDonald's largest franchisee in the world. The company is also publicly listed in the New York Stock Exchange. Based on its market capitalization value, Arcos Dorados' net worth was estimated at around 1.7 billion U.S. dollars in 2020. ",line,Unnamed: 0,Average price in U.S. dollars
statista_dataset/dataset_copy/imgs/14636.png," This statistic shows the revenue from leading fashion brands in Mexico in 2016, measured in million Mexican pesos. In that year, Mexico's biggest discount clothes retailer, Milano, generated more than 8.3 billion Mexican pesos. ",column,Unnamed: 0,Revenue in million Mexican pesos
statista_dataset/dataset_copy/imgs/23959.png," eSports team devils.one received 43.75 percent of the prize pool in the ESLMP tournament in Poland in 2019. The runner-up was Illuminar Gaming, with 20 percent of the prize. Information about the leading teams in other Polish tournaments can be found here: Polish Open 2019, Polska Liga Esportowa. ",pie,Team,Share of prize
